STN_NUM,NAME,ADDRESS,COMMUNITY,NON_EMERGENCY_INFO,MODIFIED_DT,Point,Postal Code,FSA,LAT,LONG
1,Station 01,450 1 ST SE,Downtown,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,05/27/2020 08:18:23 AM +0000,POINT (-114.05994430000001 51.04865910000001),T2G 5E3,T2G,51.04865910000000,-114.05994430000000
20,Station 20,2800 PEACEKEEPERS WY SW,Lincoln Park,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:04:08 AM +0000,POINT (-114.1287703 51.0059761),T3E 7B2,T3E,51.0059761,-114.1287703
43,Station 43,969 WALDEN DR SE,Walden,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,05/27/2020 08:17:18 AM +0000,POINT (-114.0285258 50.8680516),T2X 0R3,T2X,50.8680516,-114.0285258
40,Station 40,12920 SYMONS VALLEY RD NW,Sage Hill,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:40:43 AM +0000,POINT (-114.1323415 51.1700204),T3P 0A3,T3P,51.1700204,-114.1323415
34,Station 34,16 ROYAL VISTA WY NW,Royal Oak,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:32:06 AM +0000,POINT (-114.2054233 51.153417),T3R 0N2,T3R,51.153417,-114.2054233
17,Station 17,3740 32 AV NW,Varsity,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:02:50 AM +0000,POINT (-114.1399691 51.0818235),T2N 1N8,T2N,51.0818235,-114.1399691
9,Station 09,2515 78 AV SE,Ogden,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,05/27/2020 08:17:52 AM +0000,POINT (-114.0010727 50.9829974),T2C 3B7,T2C,50.9829974,-114.0010727
27,Station 27,BUILDING C - 11358 BARLOW TR NE,Stonegate Landing,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:48:26 AM +0000,POINT (-114.0005508 51.1563205),T3J 3T9,T3J,51.1563205,-114.0005508
36,Station 36,10071 HIDDEN VALLEY DR NW,Hidden Valley,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:33:02 AM +0000,POINT (-114.1072766 51.14715600000001),T3A 5G1,T3A,51.14715600000000,-114.1072766
11,Station 11,5506 4 ST SW,Windsor Park,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 08:57:09 AM +0000,POINT (-114.0711546 51.0049868),T2H 2Y6,T2H,51.0049868,-114.0711546
25,Station 25,4705 76 AV SE,Foothills,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:09:23 AM +0000,POINT (-113.9666124 50.984896),T2C 2X1,T2C,50.984896,-113.9666124
